phrase_id,raag,phrase,clip_id,video,t0,t1,cost,pitch_cost,orn_frac,gap_frac
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk3.mp3,wJPV6sIjWv4,16.62,16.84,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk3.mp3,wJPV6sIjWv4,16.62,17.33,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk4.mp3,wJPV6sIjWv4,10.33,10.54,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk3.mp3,wJPV6sIjWv4,12.27,15.0,3.013,3.0,0.0,0.013
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk1.mp3,8ldBWSCfR0Q,1.05,2.81,3.04,3.0,0.0,0.04
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk4.mp3,8ldBWSCfR0Q,3.77,7.25,3.041,3.0,0.0,0.041
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk4.mp3,8ldBWSCfR0Q,1.97,3.79,3.042,3.0,0.0,0.042
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk3.mp3,wJPV6sIjWv4,12.27,13.16,3.043,3.0,0.0,0.043
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk4.mp3,wJPV6sIjWv4,10.33,11.86,3.047,3.0,0.0,0.047
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk4.mp3,IaWMS9vmWRM,12.82,14.51,3.053,3.0,0.0,0.053
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk0.mp3,8ldBWSCfR0Q,3.38,4.05,3.054,3.0,0.0,0.054
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk3.mp3,QaE7GojryQE,15.64,16.98,3.06,3.0,0.0,0.06
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk3.mp3,rUoWx__itDo,11.59,11.88,3.062,3.0,0.0,0.062
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk4.mp3,FCw-Jo9_P8o,0.0,1.53,3.07,3.0,0.0,0.07
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk3.mp3,QaE7GojryQE,14.06,15.48,3.078,3.0,0.026,0.052
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk2.mp3,IaWMS9vmWRM,19.24,19.56,3.083,3.0,0.0,0.083
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk4.mp3,wJPV6sIjWv4,0.02,0.23,3.083,3.0,0.0,0.083
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk0.mp3,IaWMS9vmWRM,3.43,4.27,3.085,3.0,0.0,0.085
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk4.mp3,8ldBWSCfR0Q,7.2,8.69,3.095,3.0,0.0,0.095
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk0.mp3,IaWMS9vmWRM,7.2,7.91,3.1,3.0,0.0,0.1
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk3.mp3,IaWMS9vmWRM,16.85,17.56,3.1,3.0,0.0,0.1
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk1.mp3,IaWMS9vmWRM,7.77,9.12,3.105,3.0,0.0,0.105
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk1.mp3,IaWMS9vmWRM,15.02,15.93,3.118,3.0,0.0,0.118
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk3.mp3,p36qxVRg6kw,14.03,14.61,3.121,3.0,0.0,0.121
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk0.mp3,QaE7GojryQE,12.85,13.37,3.143,3.0,0.0,0.143
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk3.mp3,QaE7GojryQE,13.37,13.87,3.143,3.0,0.0,0.143
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk3.mp3,8ldBWSCfR0Q,7.29,7.75,3.154,3.0,0.0,0.154
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk3.mp3,p36qxVRg6kw,14.68,15.47,3.159,3.0,0.068,0.091
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk1.mp3,8ldBWSCfR0Q,0.0,0.21,3.167,3.0,0.0,0.167
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk2.mp3,IaWMS9vmWRM,1.32,1.92,3.167,3.0,0.033,0.133
