Cycle_ID,Raag_Name,Notes
73,bairagi,"S,r,m,P,n"
73,dhani,"S,g,m,P,n"
74,malkauns,"S,g,m,d,n"
74,chandrakauns,"S,g,m,d,N"
74,girija,"S,G,m,d,N"
74,bhinna shadja,"S,G,m,D,N"
74,hindol,"S,G,M,D,N"
74,amritavarshini,"S,G,M,P,N"
74,marukauns,"S,G,M,P,n"
74,madhukauns,"S,g,M,P,n"
74,devashree,"S,R,M,P,n"
74,megh,"S,R,m,P,n"
74,durga,"S,R,m,P,D"
74,shivaranjani,"S,R,g,P,D"
74,bhoop / deshkar,"S,R,G,P,D"
74,prateeksha,"S,R,G,P,d"
74,vibhas,"S,r,G,P,d"
74,bhoopal todi,"S,r,g,P,d"
74,gunakali,"S,r,m,P,d"
74,manoranjani,"S,r,m,P,D"
74,bairagi,"S,r,m,P,n"
74,dhani,"S,g,m,P,n"
75,malkauns,"S,g,m,d,n"
75,chandrakauns,"S,g,m,d,N"
75,girija,"S,G,m,d,N"
75,bhinna shadja,"S,G,m,D,N"
75,hindol,"S,G,M,D,N"
75,amritavarshini,"S,G,M,P,N"
75,marukauns,"S,G,M,P,n"
75,madhukauns,"S,g,M,P,n"
75,devashree,"S,R,M,P,n"
75,megh,"S,R,m,P,n"
75,durga,"S,R,m,P,D"
75,shivaranjani,"S,R,g,P,D"
75,bhoop / deshkar,"S,R,G,P,D"
75,prateeksha,"S,R,G,P,d"
75,vibhas,"S,r,G,P,d"
75,gunakali,"S,r,m,P,d"
75,bhoopal todi,"S,r,g,P,d"
75,bairagi todi,"S,r,g,P,n"
75,bairagi,"S,r,m,P,n"
75,dhani,"S,g,m,P,n"
76,malkauns,"S,g,m,d,n"
76,chandrakauns,"S,g,m,d,N"
76,girija,"S,G,m,d,N"
76,bhinna shadja,"S,G,m,D,N"
76,hindol,"S,G,M,D,N"
76,amritavarshini,"S,G,M,P,N"
76,marukauns,"S,G,M,P,n"
76,madhukauns,"S,g,M,P,n"
76,devashree,"S,R,M,P,n"
76,megh,"S,R,m,P,n"
76,durga,"S,R,m,P,D"
76,shivaranjani,"S,R,g,P,D"
76,bhoop / deshkar,"S,R,G,P,D"
76,hansadhwani,"S,R,G,P,N"
76,prateeksha,"S,R,G,P,d"
76,vibhas,"S,r,G,P,d"
76,bhoopal todi,"S,r,g,P,d"
76,bairagi todi,"S,r,g,P,n"
76,bairagi,"S,r,m,P,n"
76,dhani,"S,g,m,P,n"
77,malkauns,"S,g,m,d,n"
77,chandrakauns,"S,g,m,d,N"
77,girija,"S,G,m,d,N"
77,bhinna shadja,"S,G,m,D,N"
77,hindol,"S,G,M,D,N"
77,amritavarshini,"S,G,M,P,N"
77,marukauns,"S,G,M,P,n"
77,madhukauns,"S,g,M,P,n"
77,devashree,"S,R,M,P,n"
77,megh,"S,R,m,P,n"
77,durga,"S,R,m,P,D"
77,shivaranjani,"S,R,g,P,D"
77,bhoop / deshkar,"S,R,G,P,D"
77,hansadhwani,"S,R,G,P,N"
77,prateeksha,"S,R,G,P,d"
77,vibhas,"S,r,G,P,d"
77,bhoopal todi,"S,r,g,P,d"
77,gunakali,"S,r,m,P,d"
77,bairagi,"S,r,m,P,n"
77,dhani,"S,g,m,P,n"
78,malkauns,"S,g,m,d,n"
78,chandrakauns,"S,g,m,d,N"
78,girija,"S,G,m,d,N"
78,bhinna shadja,"S,G,m,D,N"
78,hindol,"S,G,M,D,N"
78,amritavarshini,"S,G,M,P,N"
78,marukauns,"S,G,M,P,n"
78,madhukauns,"S,g,M,P,n"
78,devashree,"S,R,M,P,n"
78,megh,"S,R,m,P,n"
78,durga,"S,R,m,P,D"
78,shivaranjani,"S,R,g,P,D"
78,bhoop / deshkar,"S,R,G,P,D"
78,hansadhwani,"S,R,G,P,N"
78,prateeksha,"S,R,G,P,d"
78,vibhas,"S,r,G,P,d"
78,gunakali,"S,r,m,P,d"
78,manoranjani,"S,r,m,P,D"
78,bairagi,"S,r,m,P,n"
78,dhani,"S,g,m,P,n"
79,malkauns,"S,g,m,d,n"
79,chandrakauns,"S,g,m,d,N"
79,girija,"S,G,m,d,N"
